director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
"Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry",Burnie Burns,Gavin Free,Michael Jones,Science Fiction Action Adventure Comedy,lazer team 2,"Burnie Burns Gavin Free Michael Jones Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry Science Fiction Action Adventure Comedy"
David Yates,Eddie Redmayne,Katherine Waterston,Dan Fogler,Fantasy Adventure,fantastic beasts: the crimes of grindelwald,Eddie Redmayne Katherine Waterston Dan Fogler David Yates Fantasy Adventure
Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,Crime Thriller,widows,Viola Davis Michelle Rodriguez Elizabeth Debicki Steve McQueen Crime Thriller
Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Drama History,green book,Viggo Mortensen Mahershala Ali Linda Cardellini Peter Farrelly Drama History
Sean Anders,Mark Wahlberg,Rose Byrne,Isabela Merced,Comedy Drama,instant family,Mark Wahlberg Rose Byrne Isabela Merced Sean Anders Comedy Drama
Rich Moore,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly,Sarah Silverman,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet,Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly Sarah Silverman Gal Gadot Rich Moore Family Animation Comedy Adventure
Steven Caple Jr.,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Drama Action,creed ii,Michael B. Jordan Sylvester Stallone Tessa Thompson Steven Caple Jr. Drama Action
Otto Bathurst,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Action Adventure History,robin hood,Taron Egerton Jamie Foxx Ben Mendelsohn Otto Bathurst Action Adventure History
Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Jorge Antonio Guerrero,Drama,roma,Yalitza Aparicio Marina de Tavira Jorge Antonio Guerrero Alfonso Cuarón Drama
Yorgos Lanthimos,Olivia Colman,Emma Stone,Rachel Weisz,Drama Comedy Thriller History,the favourite,Olivia Colman Emma Stone Rachel Weisz Yorgos Lanthimos Drama Comedy Thriller History
Andy Serkis,Christian Bale,Cate Blanchett,Benedict Cumberbatch,Adventure Drama,mowgli: legend of the jungle,Christian Bale Cate Blanchett Benedict Cumberbatch Andy Serkis Adventure Drama
Diederik van Rooijen,Shay Mitchell,Grey Damon,Kirby Johnson,Horror Drama,the possession of hannah grace,Shay Mitchell Grey Damon Kirby Johnson Diederik van Rooijen Horror Drama
Johan Bodell,Christopher Lee Page,Caitlin Crommett,Erik Kammerland,Comedy TV Movie,the cabin,Christopher Lee Page Caitlin Crommett Erik Kammerland Johan Bodell Comedy TV Movie
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots,Saoirse Ronan Margot Robbie Jack Lowden Josie Rourke Drama History
Peter Hedges,Julia Roberts,Lucas Hedges,Courtney B. Vance,Drama,ben is back,Julia Roberts Lucas Hedges Courtney B. Vance Peter Hedges Drama
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Animation Action Adventure Science Fiction,spider-man: into the spider-verse,"Shameik Moore Jake Johnson Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Animation Action Adventure Science Fiction"
Christian Rivers,Hera Hilmar,Robert Sheehan,Hugo Weaving,Adventure Science Fiction,mortal engines,Hera Hilmar Robert Sheehan Hugo Weaving Christian Rivers Adventure Science Fiction
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama,the mule,Clint Eastwood Bradley Cooper Laurence Fishburne Clint Eastwood Crime Drama
Barry Jenkins,KiKi Layne,Stephan James,Colman Domingo,Romance Drama,if beale street could talk,KiKi Layne Stephan James Colman Domingo Barry Jenkins Romance Drama
Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns,Emily Blunt Lin-Manuel Miranda Ben Whishaw Rob Marshall Fantasy Family Comedy
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman,Jason Momoa Amber Heard Willem Dafoe James Wan Action Adventure Fantasy
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee,Hailee Steinfeld John Cena Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction
Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy,welcome to marwen,Steve Carell Leslie Mann Diane Kruger Robert Zemeckis Drama Comedy
Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act,Jennifer Lopez Leah Remini Vanessa Hudgens Peter Segal Romance Comedy
Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Comedy Mystery Crime,holmes & watson,Will Ferrell John C. Reilly Rebecca Hall Etan Cohen Comedy Mystery Crime
Adam McKay,Christian Bale,Amy Adams,Steve Carell,Thriller Science Fiction Action Adventure,vice,Christian Bale Amy Adams Steve Carell Adam McKay Thriller Science Fiction Action Adventure
Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex,Felicity Jones Armie Hammer Justin Theroux Mimi Leder Drama History
Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,destroyer,Nicole Kidman Sebastian Stan Toby Kebbell Karyn Kusama Thriller Crime Drama Action
Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Horror Thriller Mystery,escape room,Taylor Russell Logan Miller Deborah Ann Woll Adam Robitel Horror Thriller Mystery
Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama Action Crime,rust creek,Hermione Corfield Jay Paulson Sean O'Bryan Jen McGowan Thriller Drama Action Crime
Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,american hangman,Donald Sutherland Vincent Kartheiser Oliver Dennis Wilson Coneybeare Thriller
Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,a dog's way home,Bryce Dallas Howard Edward James Olmos Alexandra Shipp Charles Martin Smith Drama Adventure Family
Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,the upside,Bryan Cranston Kevin Hart Nicole Kidman Neil Burger Comedy Drama
Jeffrey Nachmanoff,Keanu Reeves,unknown,unknown,Science Fiction Thriller Drama,replicas,Keanu Reeves unknown unknown Jeffrey Nachmanoff Science Fiction Thriller Drama
Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,after darkness,Natalia Dyer Kyra Sedgwick Tim Daly Batán Silva Drama Family Thriller Science Fiction
M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,glass,James McAvoy Bruce Willis Samuel L. Jackson M. Night Shyamalan Thriller Drama Science Fiction
Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Drama,close,Noomi Rapace Sophie Nélisse Indira Varma Vicky Jewson Drama
Henry Dunham,James Badge Dale,Brian Geraghty,unknown,Crime Drama Thriller,the standoff at sparrow creek,James Badge Dale Brian Geraghty unknown Henry Dunham Crime Drama Thriller
Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,the final wish,Lin Shaye Michael Welch Melissa Bolona Timothy Woodward Jr. Horror
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,the kid who would be king,Louis Ashbourne Serkis Dean Chaumoo Tom Taylor Joe Cornish Action Adventure Fantasy Family
Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke,Science Fiction Action Adventure Thriller,serenity,Matthew McConaughey Anne Hathaway Jason Clarke Steven Knight Science Fiction Action Adventure Thriller
Grant Sputore,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard,Science Fiction Thriller,i am mother,Grant Sputore (director) Michael Lloyd Green (screenplay/story) Clara Rugaard Grant Sputore Science Fiction Thriller
Andrew Patterson,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick,Drama Mystery Science Fiction Thriller,the vast of night,Andrew Patterson (director) James Montague Craig W. Sanger (writers); Sierra McCormick Andrew Patterson Drama Mystery Science Fiction Thriller
